"latitude","longitude","id"
"55.78208662","37.59833111","175"
"55.78159385","37.59908749","176"
"55.77940204","37.60063245","177"
"55.77926297","37.60102941","178"
"55.78142758","37.61353923","179"
"55.7812341","37.61312081","180"
"55.77609746","37.60298206","181"
"55.7756923","37.60347022","182"
"55.77381765","37.60386719","183"
"55.77307986","37.60522975","184"
"55.7720699","37.60448946","185"
"55.77243881","37.60509028","186"
"55.77681101","37.60695173","187"
"55.77652377","37.60729505","188"
"55.77968925","37.62243344","189"
"55.77893343","37.62233688","190"
"55.77488803","37.61868908","191"
"55.77367251","37.61387183","192"
"55.77329757","37.61343195","193"
"55.77283191","37.60948373","194"
"55.77365437","37.60856105","195"
"55.7709934","37.61069609","196"
"55.77091175","37.6112379","197"
"55.79256315","37.60300352","198"
"55.79285328","37.60416223","199"
"55.79316759","37.60891511","200"
"55.79267497","37.60841622","201"
"55.79337915","37.61352314","202"
"55.79283817","37.61291696","203"
"55.79381434","37.61637701","204"
"55.79384758","37.61596932","205"
"55.79240901","37.61638238","206"
"55.79320688","37.62030913","207"
"55.79294999","37.62348487","208"
"55.79262359","37.6212479","209"
"55.79169878","37.62893511","210"
"55.7914177","37.61318518","211"
"55.79115778","37.61649503","212"
"55.78856451","37.61340512","213"
"55.78830456","37.61675252","214"
"55.78485867","37.61376454","215"
"55.78370997","37.61547579","216"
"55.79087065","37.62251391","217"
"55.78897859","37.62227251","218"
"55.78830759","37.62249781","219"
"55.78465311","37.62257828","220"
"55.78416643","37.62328102","221"
"55.78112527","37.62313081","222"
"55.7806597","37.6233132","223"
"55.79866157","37.61577083","224"
"55.79825665","37.61612488","225"
"55.79524681","37.58971585","226"
"55.80625152","37.58729114","227"
"55.80610046","37.58603586","228"
"55.79249364","37.63478769","229"
"55.79249364","37.63307108","230"
"55.79158695","37.63402595","231"
"55.7914993","37.63309254","232"
"55.79107315","37.63487889","233"
"55.79604462","37.63411178","234"
"55.79539187","37.6353295","235"
"55.79382794","37.63786151","236"
"55.7936995","37.63825043","237"
"55.7883892","37.63995899","238"
"55.78873981","37.64045252","239"
"55.78377043","37.6417829","240"
"55.7833593","37.64219059","241"
"55.77993111","37.64382137","242"
"55.77966506","37.64522685","243"
"55.78971306","37.63459458","244"
"55.78971911","37.63495936","245"
"55.78671465","37.63468041","246"
"55.7859892","37.63519539","247"
"55.78381879","37.6343049","248"
"55.78355882","37.63480915","249"
"55.78186291","37.63358607","250"
"55.78140037","37.63384356","251"
"55.77961064","37.63315691","252"
"55.78015483","37.63288333","253"
"55.77738244","37.64807536","254"
"55.77718894","37.64880492","255"
"55.77506642","37.65115453","256"
"55.7754232","37.65122964","257"
"55.77437703","37.65117599","258"
"55.7735062","37.65253855","259"
"55.77336711","37.65288188","260"
"55.77498176","37.6559396","261"
"55.77651773","37.65894367","262"
"55.80272564","37.63581766","263"
"55.80212739","37.63625755","264"
"55.80564728","37.63618244","265"
"55.80574094","37.63729824","266"
"55.8069343","37.64046861","267"
"55.80873183","37.65727534","268"
"55.80808534","37.6583053","269"
"55.80299153","37.64997973","270"
"55.80178294","37.65386357","271"
"55.80948103","37.63759865","272"
"55.8108223","37.63718023","273"
"55.81411487","37.63788833","274"
"55.81307577","37.63823165","275"
"55.81639835","37.63812436","276"
"55.81552847","37.63873591","277"
"55.81847934","37.63782396","278"
"55.8201948","37.6368369","279"
"55.81972366","37.63946547","280"
"55.81951225","37.64045252","281"
"55.82391538","37.64386429","282"
"55.82247792","37.64359607","283"
"55.8276054","37.64764084","284"
"55.82593859","37.64728679","285"
"55.82416904","37.66854061","286"
"55.81437765","37.66223206","287"
"55.81394269","37.66334786","288"
"55.80020264","37.618158","289"
"55.80119373","37.61821164","290"
"55.80373177","37.61549188","291"
"55.80354143","37.61579765","292"
"55.80084021","37.6083733","293"
"55.7999458","37.60838403","294"
"55.80774698","37.58116497","295"
"55.80808534","37.58044614","296"
"55.80714276","37.57944836","297"
"55.80890101","37.5764872","298"
"55.80899768","37.57627262","299"
"55.81287641","37.60359897","300"
"55.81274954","37.60344876","301"
"55.81415715","37.60123862","302"
"55.81383093","37.60206474","303"
"55.81704169","37.60294451","304"
"55.81784811","37.60347022","305"
"55.82149946","37.6490785","306"
"55.82101625","37.64693274","307"
"55.82108873","37.65668525","308"
"55.82135449","37.65859498","309"
"55.82111893","37.66465677","310"
"55.82108873","37.66298308","311"
"55.8290789","37.66957058","312"
"55.82975524","37.67197384","313"
"55.83220084","37.65416397","314"
"55.83220688","37.65391721","315"
"55.83332999","37.65360607","316"
"55.83316092","37.65358462","317"
"55.82773222","37.6535417","318"
"55.83323942","37.65583767","319"
"55.8339338","37.65419616","320"
"55.83676554","37.65791907","321"
"55.83587196","37.65865935","322"
"55.83814209","37.66909851","323"
"55.84047245","37.67040743","324"
"55.84189113","37.66525759","325"
"55.84251895","37.66545071","326"
"55.7799039","37.66658796","327"
"55.77909971","37.6657082","328"
"55.781875","37.67034306","329"
"55.78204429","37.66761793","330"
"55.78247961","37.66815437","331"
"55.78077458","37.66911997","332"
